"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"校長","こうちょう","6級から","","","5348","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"検察","けんさつ","6級から","","","5353","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"無限","むげん","6級から","","","5355","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"両国","りょうこく","6級から","","りょうこく / りょうごく","5356","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"農林","のうりん","6級から","","","5358","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"統治","とうち","6級から","","とうち / とうじ","5360","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"早朝","そうちょう","6級から","","","5361","常用漢字表","校正不要"
"県内","けんない","6級から","","","5363","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"福島","ふくしま","6級から","","","5364","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"史上","しじょう","6級から","","","5367","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"背後","はいご","5級から","","","5368","常用漢字表","校正不要"
"間接","かんせつ","6級から","","","5369","国語辞典(JMdict)｜対義語・熟語の構成で使う語","校正不要"
"後日","ごじつ","6級から","","ごじつ / ごにち","5374","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"感性","かんせい","6級から","","","5375","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"省略","しょうりゃく","6級から","","","5378","常用漢字表","校正不要"
"無効","むこう","6級から","","","5380","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"王国","おうこく","6級から","","","5384","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"速報","そくほう","6級から","","","5386","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"代金","だいきん","6級から","","","5389","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"財団","ざいだん","6級から","","","5398","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"使命","しめい","6級から","","","5400","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"五月","さつき","6級から","熟字訓","ごがつ / さつき","5401","常用漢字表（付表・熟字訓）","校正不要"
"戦前","せんぜん","6級から","","","5403","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"故障","こしょう","5級から","","","5404","常用漢字表","校正不要"
"他方","たほう","6級から","","","5407","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"答申","とうしん","6級から","","","5410","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"境界","きょうかい","6級から","","きょうかい / けいかい / きょうがい","5413","常用漢字表","校正不要"
