"熟語","読み","出題級","種類","ほかの読み","よく使う順位","出典","校正状態"
"好評","こうひょう","6級から","","","4951","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"参入","さんにゅう","6級から","","","4954","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"学年","がくねん","6級から","","","4958","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"用品","ようひん","6級から","","","4961","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"革新","かくしん","5級から","","","4967","常用漢字表","校正不要"
"全角","ぜんかく","6級から","","","4971","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"出資","しゅっし","6級から","","","4977","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"拝見","はいけん","5級から","","","4983","常用漢字表","校正不要"
"居住","きょじゅう","6級から","","","4984","常用漢字表","校正不要"
"著書","ちょしょ","5級から","","","4986","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"逆転","ぎゃくてん","6級から","","","4993","常用漢字表","校正不要"
"諸君","しょくん","5級から","","","4995","常用漢字表","校正不要"
"共和","きょうわ","6級から","","","5000","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"復興","ふっこう","6級から","","","5002","常用漢字表","校正不要"
"統制","とうせい","6級から","","","5003","常用漢字表","校正不要"
"幹事","かんじ","6級から","","","5004","常用漢字表","校正不要"
"解散","かいさん","6級から","","","5005","常用漢字表","校正不要"
"文法","ぶんぽう","6級から","","","5012","常用漢字表","校正不要"
"書評","しょひょう","6級から","","","5016","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"重点","じゅうてん","6級から","","","5017","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"悲劇","ひげき","5級から","","","5020","常用漢字表","校正不要"
"単独","たんどく","6級から","","","5023","常用漢字表","校正不要"
"年末","ねんまつ","6級から","","","5025","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"縮小","しゅくしょう","5級から","","","5031","常用漢字表","校正不要"
"規約","きやく","6級から","","","5036","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"不法","ふほう","6級から","","","5040","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"農村","のうそん","6級から","","","5045","常用漢字表","校正不要"
"進展","しんてん","5級から","","","5046","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"創作","そうさく","5級から","","","5047","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"日付","ひづけ","6級から","","","5048","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"武装","ぶそう","5級から","","","5051","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"婦人","ふじん","6級から","","","5056","常用漢字表","校正不要"
"声明","せいめい","6級から","","せいめい / しょうみょう","5059","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
"天国","てんごく","6級から","","てんごく / てんこく","5060","国語辞典(JMdict)｜よく使う二字熟語","校正不要"
